subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.6672261834026542,0.6279320609509288,0.7639080230275198,0.7108024691358025,0.6145061728395061,0.7114197530864198,0.6322960178223336,0.7947530864197532,0.5638888888888889,0.7076308194729247,0.6423115870484292,0.7414622414622416,0.639462292093871,0.7681818181818182,0.6737329434697856,0.6839676238201917
RF_AUC,0.7013491410550236,0.7199094115760781,0.7777777777777778,0.757716049382716,0.6543209876543209,0.7700617283950617,0.7208646616541353,0.7262345679012346,0.5166666666666666,0.7650375939849624,0.6894736842105263,0.7414622414622416,0.7174444950760739,0.7797619047619048,0.7888888888888889,0.7217979866965075
AB_AUC,0.6895055924467689,0.6562764512450047,0.7787494592526039,0.7796296296296297,0.7546296296296298,0.7623456790123457,0.6588276246170982,0.8512345679012346,0.706885268727374,0.5955760613655351,0.7465728715728716,0.6041277436014277,0.7358971924761398,0.5512373104478367,0.702234753550543,0.7049153223650696
KN_AUC,0.7619114001466943,0.7236892736892736,0.7708429004026488,0.7469135802469135,0.7246913580246913,0.707716049382716,0.7189199851480553,0.7462962962962963,0.8810428849902534,0.7974393053340423,0.7727108174476595,0.7058156755525177,0.7287600313916104,0.7240867319814689,0.7793372319688109,0.7526782348002434
LDA_AUC,0.7025146422205246,0.7407888407888409,0.7777777777777778,0.7777777777777778,0.7006172839506174,0.7083333333333334,0.6923373247934651,0.7530864197530863,0.8375382901698692,0.7836105415052783,0.7471019721019722,0.7143401432875116,0.706537809169388,0.7797619047619048,0.7925925925925926,0.7476477769322628
SVM_AUC,0.7508770641123582,0.7322390572390572,0.7777777777777778,0.7533950617283951,0.737037037037037,0.7546296296296297,0.742464958693029,0.708641975308642,0.8561890838206628,0.765904027746133,0.7400375939849623,0.6600668337510442,0.7419153945469734,0.7650375939849624,0.7981481481481482,0.7522907491672541
GB_AUC,0.7508770641123582,0.748253801870154,0.7480949053276097,0.7154320987654321,0.7364197530864197,0.7385802469135802,0.705168012624153,0.8101851851851851,0.5722222222222223,0.7724570264043948,0.7643774841143262,0.6581732108047899,0.709862408546619,0.7833396622870307,0.7039473684210527,0.7278260300456885
DT_F1,0.5351654175183588,0.4232298136645962,0.664378337147216,0.5714285714285714,0.4751651856915015,0.6033653846153846,0.4900476590972806,0.699910600255428,0.36398872445384073,0.5638438438438439,0.5089859089859089,0.6052631578947368,0.5058702791461412,0.6485100485100485,0.5369318181818181,0.5464056500289783
RF_F1,0.5445519980143957,0.505984986812741,0.6286919831223629,0.5821566110397947,0.5077581594435526,0.625,0.5752421450507914,0.6570544151189311,0.24361095789667217,0.6170072511535927,0.5365079365079365,0.6052631578947368,0.6525147570899206,0.6296296296296297,0.6188034188034188,0.5686518271718984
AB_F1,0.5496120865659453,0.4632034632034632,0.669059829059829,0.6786509653128254,0.6459790209790209,0.6202531645569621,0.5382491024578845,0.7661345852895148,0.4069562019872579,0.4638186573670445,0.6133250311332503,0.45495856722801387,0.600078767291882,0.36155606407322655,0.5345528455284554,0.5577592234689718
KN_F1,0.6413468013468013,0.5169230769230769,0.6602316602316602,0.6048809944621185,0.5755112096575511,0.5743243243243243,0.5832130832130832,0.670081135902637,0.8307816277195809,0.7091982091982092,0.7146807440925088,0.5945371435877764,0.6443976443976445,0.6131131131131131,0.6021689497716896,0.635692647862785
LDA_F1,0.5617088607594937,0.5385572139303482,0.6286919831223629,0.6296296296296297,0.5586396599149787,0.5833333333333334,0.5590749120160884,0.6872427983539094,0.7888167388167387,0.6925925925925925,0.5859993664871713,0.5855855855855856,0.6118706942236355,0.6296296296296297,0.6136618141097424,0.6170023208336826
SVM_F1,0.6006453214197072,0.5277262420119563,0.6286919831223629,0.5978407557354926,0.5868005738880918,0.6153846153846154,0.5981481481481481,0.625787284610814,0.8006564704239123,0.6566137566137566,0.5784810126582279,0.5339912280701754,0.6924369747899161,0.6170072511535927,0.6087671232876714,0.6179319160878961
GB_F1,0.6006453214197072,0.6009475642367167,0.6455816157308695,0.580032086881402,0.578397212543554,0.5962541488857279,0.5657225853304285,0.750997150997151,0.38118022328548645,0.611489776046738,0.7017316017316017,0.5219298245614036,0.6236312706900943,0.6939149675991781,0.5632798573975044,0.6010490138225042
