subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.7483976719296179,0.6313292640312501,0.8053841802269476,0.7228251507321275,0.7952023867118209,0.668708498816858,0.6581349206349206,0.7925925925925926,0.5727417115528977,0.7869331546867778,0.6871067821067821,0.649088630667578,0.6890728715728716,0.7531673573340241,0.7348731979374934,0.7130372247689707
RF_AUC,0.7396914293288895,0.7536406094990745,0.7777777777777778,0.7156922911283377,0.6957971448537487,0.7456961253400882,0.7202777777777777,0.69320987654321,0.573512377418222,0.7623456790123457,0.7356782106782106,0.7437109187109187,0.7058321308321308,0.7690058479532164,0.7770002455364972,0.727257896159363
AB_AUC,0.6620550092017484,0.8250147664751672,0.7945625769525141,0.7073105081826011,0.7584752075318114,0.7196266066235107,0.7350264550264551,0.839506172839506,0.6021247653773559,0.7327972382320208,0.7088395863395864,0.6490626819574189,0.7073364598364598,0.7442389481863166,0.8078355373157015,0.7329208346718783
KN_AUC,0.7690795130647995,0.7937640662891979,0.7876276995773851,0.7265127045650303,0.8039226003629251,0.7196266066235107,0.7284920634920634,0.7901234567901234,0.8224526081185987,0.8176147161654409,0.8118338143338142,0.6989911647806385,0.7511676286676288,0.8274967397774416,0.7600933038689538,0.7739199124318367
LDA_AUC,0.7121506211180124,0.7867121507472384,0.7777777777777778,0.7395833333333334,0.7271361761927798,0.6761774087625482,0.738452380952381,0.7638888888888888,0.8641022695573225,0.7664001993712138,0.7370887445887445,0.7143401432875116,0.6846909571909573,0.8109567901234568,0.7789674605680078,0.7518950201640117
SVM_AUC,0.7525879917184265,0.7867121507472384,0.7777777777777778,0.702320198105082,0.7689160537997747,0.7370062857678957,0.7708333333333334,0.7395061728395061,0.8208735096402754,0.8142780461621042,0.7451839826839827,0.6699754436596542,0.7217893217893218,0.7690058479532164,0.7871373952085307,0.757593567412408
GB_AUC,0.728228519668737,0.7902858999350227,0.7550297827027387,0.6545273471145564,0.7539778530344569,0.6935570879069332,0.7257539682539682,0.8456790123456791,0.6395995268819459,0.749080861399702,0.7958766233766233,0.7558682058682059,0.6970851370851371,0.7756949840283175,0.6661414913808894,0.7350924200655276
DT_F1,0.6252875407906703,0.44974449109787457,0.7171717171717171,0.614108187134503,0.7045242339359987,0.5845410628019324,0.5369369369369369,0.7018171105665582,0.37986895733374615,0.6878224974200206,0.5510752688172044,0.4891905480140774,0.5738079787398411,0.6376262626262627,0.6013591671486408,0.5903254640357323
RF_F1,0.5926288323548597,0.5698412698412699,0.6286919831223629,0.6188453159041395,0.5559926567007606,0.6228070175438596,0.5843621399176956,0.5865079365079365,0.38359788359788355,0.6066378066378065,0.5831265508684863,0.6003418803418804,0.6293495534001863,0.6176576576576577,0.5961538461538461,0.5851028220367088
AB_F1,0.5638017896082412,0.7222222222222222,0.6883116883116883,0.639423076923077,0.6144078144078143,0.6073059360730594,0.6304697554697555,0.7797422500870778,0.4398148148148148,0.5582398619499568,0.5998158929193412,0.5239951731179802,0.5407925407925408,0.6021021021021021,0.6826158425518681,0.612870717423436
KN_F1,0.661209682336443,0.6500206556341279,0.6944444444444445,0.5704711735440445,0.6932132132132133,0.6073059360730594,0.5988953575160472,0.7407407407407408,0.7440476190476191,0.723428346379166,0.7649166407787097,0.567621920563097,0.6617998589829576,0.7493955493955494,0.5728715728715729,0.6666921807680528
LDA_F1,0.5816649104320337,0.6045108838185156,0.6286919831223629,0.6296296296296297,0.5863636363636363,0.5784313725490197,0.6088888888888889,0.6868131868131869,0.8202380952380953,0.6666087124504974,0.5785858585858586,0.5855855855855856,0.5957816916721026,0.708777270421106,0.5819738516718732,0.6295030371494929
SVM_F1,0.6132250972433622,0.6045108838185156,0.6286919831223629,0.5332318619989853,0.613960113960114,0.6177777777777779,0.6286919831223629,0.6603687477181454,0.746031746031746,0.7312169312169313,0.583732057416268,0.5345560871876661,0.6724358974358976,0.6176576576576577,0.5870953032375742,0.624878941929691
GB_F1,0.5947293447293448,0.6012919896640826,0.6435185185185185,0.5774647887323944,0.609084139985108,0.5904761904761905,0.5952380952380952,0.7888812941444522,0.4920634920634921,0.5904593117707871,0.7270374345053973,0.5972313777191826,0.6065244191559982,0.6255707762557078,0.530777741304057,0.6113565942841872
DT_ACC,0.7636363636363637,0.5357142857142857,0.7741935483870968,0.5576923076923077,0.7704918032786885,0.6037735849056604,0.6779661016949152,0.7777777777777778,0.3968253968253968,0.7818181818181819,0.6949152542372882,0.671875,0.6440677966101694,0.7666666666666667,0.65,0.6711609379496534
RF_ACC,0.8,0.7857142857142857,0.8548387096774194,0.7115384615384616,0.7704918032786885,0.8113207547169812,0.7966101694915254,0.746031746031746,0.3968253968253968,0.8181818181818182,0.7966101694915254,0.78125,0.7457627118644068,0.85,0.8333333333333334,0.7665672906763726
AB_ACC,0.6181818181818182,0.8571428571428571,0.8548387096774194,0.6153846153846154,0.8360655737704918,0.7547169811320755,0.7627118644067796,0.8095238095238095,0.4444444444444444,0.7636363636363637,0.7457627118644068,0.578125,0.559322033898305,0.8,0.7833333333333333,0.7188793410931147
KN_ACC,0.661209682336443,0.6500206556341279,0.6944444444444445,0.5704711735440445,0.6932132132132133,0.6073059360730594,0.5988953575160472,0.7407407407407408,0.7440476190476191,0.723428346379166,0.7649166407787097,0.567621920563097,0.6617998589829576,0.7493955493955494,0.5728715728715729,0.6666921807680528
LDA_ACC,0.7636363636363637,0.8392857142857143,0.8548387096774194,0.8269230769230769,0.8032786885245902,0.660377358490566,0.7796610169491526,0.7619047619047619,0.873015873015873,0.7636363636363637,0.7796610169491526,0.734375,0.6610169491525424,0.8833333333333333,0.8166666666666667,0.7867740595430384
SVM_ACC,0.8181818181818182,0.8392857142857143,0.8548387096774194,0.7115384615384616,0.8524590163934426,0.7924528301886793,0.847457627118644,0.7936507936507936,0.8412698412698413,0.8545454545454545,0.7966101694915254,0.6875,0.7627118644067796,0.85,0.8333333333333334,0.809055708938794
GB_ACC,0.7818181818181819,0.8392857142857143,0.7741935483870968,0.6346153846153846,0.8360655737704918,0.6981132075471698,0.7796610169491526,0.8571428571428571,0.4603174603174603,0.7818181818181819,0.8135593220338984,0.796875,0.6949152542372882,0.85,0.5833333333333334,0.7454476024170807
