subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.7416828813887637,0.6942047004940086,0.6903630494825462,0.6691358024691358,0.6410493827160494,0.7083333333333334,0.7325048732943471,0.6166666666666667,0.5745614035087719,0.726161995898838,0.7973437381332119,0.6057131465026202,0.49329384066226173,0.7117610946558314,0.7474658869395712,0.6766827864097303
RF_AUC,0.6860203521968229,0.6873777457110789,0.7623456790123457,0.7635802469135803,0.6141975308641975,0.7546296296296297,0.6766917293233083,0.6376543209876543,0.5,0.7567042606516291,0.7483709273182956,0.7999999999999999,0.5677944862155389,0.7842592592592593,0.7907407407407407,0.7020244605882721
AB_AUC,0.7534994417347359,0.5937404896524394,0.6828990715783169,0.7611111111111111,0.6882716049382714,0.75,0.7600598719019772,0.5709876543209876,0.5841130604288499,0.8178634718108402,0.7275619604566973,0.6977272727272728,0.5255696058327637,0.754954304954305,0.755144806460596,0.6949002485272776
KN_AUC,0.6995122524534289,0.6735046632845375,0.7742521047552494,0.7351851851851853,0.6675925925925926,0.7231481481481481,0.7384549336303722,0.700925925925926,0.7427179058758006,0.8024834814308498,0.7336466165413533,0.6962203488519277,0.5848940533151059,0.7097238044606465,0.7472709551656921,0.7153021981077877
LDA_AUC,0.687048028224499,0.7051205375104747,0.749941765665036,0.8104938271604939,0.5685185185185185,0.7308641975308642,0.62272579597141,0.5879629629629629,0.7245753272069061,0.8169014708488392,0.7714285714285715,0.7999999999999999,0.613471810840232,0.7721019721019721,0.7907407407407407,0.7167930351141014
SVM_AUC,0.7461151593504534,0.7479437229437229,0.7777777777777778,0.7302469135802471,0.691358024691358,0.7462962962962963,0.7797619047619048,0.6462962962962964,0.730458089668616,0.8226190476190477,0.7630952380952382,0.7262645249487355,0.5932273866484392,0.7932539682539682,0.7907407407407407,0.7390303394448561
GB_AUC,0.7617465867465868,0.713684009910425,0.7698712189278227,0.6762345679012346,0.6296296296296297,0.7700617283950617,0.7355889724310777,0.6537037037037038,0.5330409356725146,0.7828592947013999,0.7041979949874687,0.7148338016759069,0.5472026024657604,0.7725228475228475,0.8105263157894737,0.7050469473640608
DT_F1,0.6373712955501836,0.5305853566723132,0.5756335282651072,0.5432297969611403,0.5198430075090417,0.5833333333333334,0.6238807109991026,0.4610967556703991,0.3554171855541719,0.63503003003003,0.7412698412698413,0.4457455113192818,0.3333333333333333,0.5377689942907334,0.6124466549998465,0.5423990223838573
RF_F1,0.5397590361445784,0.4721716251770897,0.6154761904761905,0.5982905982905983,0.4356089022255564,0.6153846153846154,0.5293823455863965,0.4827586206896551,0.21257932064203064,0.6038553173056097,0.591025641025641,0.6028368794326241,0.3941743011510453,0.6204641350210971,0.6160361377752682,0.5286535777551998
AB_F1,0.5953601953601954,0.4086210946676063,0.5621890547263682,0.6027093049078392,0.55800792303339,0.6064084170253468,0.6594944150499705,0.3996091841719589,0.3557354925775979,0.7385528859431095,0.5618143459915612,0.5082530187216129,0.3644444444444444,0.5831168831168831,0.6233172512242279,0.5418422607308073
KN_F1,0.5411072752844904,0.46553173602353937,0.6645652593021013,0.5739726027397261,0.49382716049382713,0.5832130832130832,0.592827748383304,0.611111111111111,0.6357102802668773,0.7093567251461989,0.5780810049815898,0.5148148148148147,0.41269841269841273,0.537280701754386,0.5835866261398176,0.566512302823552
LDA_F1,0.5795520934761441,0.4973544973544974,0.6053921568627452,0.731373889268626,0.3781384380635317,0.5883190883190883,0.4883468834688347,0.4482654600301659,0.5716294956801286,0.7392329037898658,0.6164529914529915,0.6028368794326241,0.484643179765131,0.625,0.6160361377752682,0.5715049396493096
SVM_F1,0.5994397759103641,0.5373774509803921,0.6286919831223629,0.5824561403508772,0.5205761316872428,0.6013806013806015,0.6286919831223629,0.47586206896551725,0.5945945945945946,0.7409090909090909,0.6035864978902954,0.5401492371088095,0.4230234029095509,0.6078787878787879,0.6160361377752682,0.5800435923057411
GB_F1,0.6042884990253411,0.5527253668763102,0.6239316239316239,0.541279669762642,0.45416666666666666,0.625,0.58931475029036,0.5308641975308642,0.286774628879892,0.6977327327327328,0.5508701472556894,0.5174603174603175,0.3713200379867046,0.5913406364110588,0.6915231340763256,0.548572827259102
